Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.16.0.5-192.168.50.4-59261-39295-17,172.16.0.5,59261,192.168.50.4,39295,17,2018-11-03 11:01:43.686015,17335,14,0,5074.0,0.0,388.0,322.0,362.4285714285714,25.71953548364561,0.0,0.0,0.0,0.0,292702.62474762043,807.6146524372657,1333.461538461538,3559.908440193948,13069.0,1.0,17335.0,1333.461538461538,3559.908440193948,13069.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-14,0,807.6146524372658,0.0,322.0,388.0,359.7333333333333,26.89255517442555,723.2095238095226,0,0,0,0,0,0,0,0,0.0,385.4285714285714,362.4285714285714,0.0,0,0,0,0,0,0,14,5074,0,0,-1,-1,13,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UDP
172.16.0.5-192.168.50.4-32768-45650-17,172.16.0.5,32768,192.168.50.4,45650,17,2018-11-03 11:01:43.655888,18063,10,0,3290.0,0.0,346.0,281.0,329.0,25.73367875415837,0.0,0.0,0.0,0.0,182140.28677406852,553.6178929302995,2007.0,2600.072931669418,6057.0,1.0,18063.0,2007.0,2600.072931669418,6057.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-10,0,553.6178929302995,0.0,281.0,346.0,324.6363636363636,28.38053109888089,805.4545454545448,0,0,0,0,0,0,0,0,0.0,357.1,329.0,0.0,0,0,0,0,0,0,10,3290,0,0,-1,-1,9,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UDP
172.16.0.5-192.168.50.4-51574-50450-17,172.16.0.5,51574,192.168.50.4,50450,17,2018-11-03 11:01:43.660758,9901,10,0,3310.0,0.0,348.0,283.0,331.0,25.73367875415837,0.0,0.0,0.0,0.0,334309.6656903343,1009.99899000101,1100.111111111111,3296.9583499205933,9892.0,1.0,9901.0,1100.111111111111,3296.9583499205933,9892.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-10,0,1009.99899000101,0.0,283.0,348.0,326.6363636363636,28.38053109888089,805.4545454545448,0,0,0,0,0,0,0,0,0.0,359.3,331.0,0.0,0,0,0,0,0,0,10,3310,0,0,-1,-1,9,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UDP
172.16.0.5-192.168.50.4-41163-25522-17,172.16.0.5,41163,192.168.50.4,25522,17,2018-11-03 11:01:43.666836,329507,8,0,3006.0,0.0,401.0,330.0,375.75,29.07502610243269,0.0,0.0,0.0,0.0,9122.719699429754,24.278695141529617,47072.428571428565,58713.6993379942,110724.0,1.0,329507.0,47072.428571428565,58713.6993379942,110724.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-8,0,24.278695141529607,0.0,330.0,401.0,378.5555555555557,28.469769542055968,810.5277777777776,0,0,0,0,0,0,0,0,0.0,425.875,375.75,0.0,0,0,0,0,0,0,8,3006,0,0,-1,-1,7,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UDP
172.16.0.5-192.168.50.4-40327-32621-17,172.16.0.5,40327,192.168.50.4,32621,17,2018-11-03 11:01:43.669726,330056,8,0,3006.0,0.0,401.0,330.0,375.75,29.07502610243269,0.0,0.0,0.0,0.0,9107.545386237489,24.23831107448433,47150.85714285714,58809.89544690749,111050.0,1.0,330056.0,47150.85714285714,58809.89544690749,111050.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-8,0,24.23831107448433,0.0,330.0,401.0,378.5555555555557,28.469769542055968,810.5277777777776,0,0,0,0,0,0,0,0,0.0,425.875,375.75,0.0,0,0,0,0,0,0,8,3006,0,0,-1,-1,7,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UDP
172.16.0.5-192.168.50.4-45183-17513-17,172.16.0.5,45183,192.168.50.4,17513,17,2018-11-03 11:01:43.670904,329987,8,0,3006.0,0.0,401.0,330.0,375.75,29.07502610243269,0.0,0.0,0.0,0.0,9109.449766202912,24.24337928463849,47141.0,58795.37675985531,110703.0,1.0,329987.0,47141.0,58795.37675985531,110703.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-8,0,24.24337928463849,0.0,330.0,401.0,378.5555555555557,28.469769542055968,810.5277777777776,0,0,0,0,0,0,0,0,0.0,425.875,375.75,0.0,0,0,0,0,0,0,8,3006,0,0,-1,-1,7,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UDP
172.16.0.5-192.168.50.4-49728-36958-17,172.16.0.5,49728,192.168.50.4,36958,17,2018-11-03 11:01:43.688048,329988,8,0,3006.0,0.0,401.0,330.0,375.75,29.07502610243269,0.0,0.0,0.0,0.0,9109.422160805849,24.24330581718123,47141.14285714286,58795.54502519322,110593.0,1.0,329988.0,47141.14285714286,58795.54502519322,110593.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-8,0,24.24330581718123,0.0,330.0,401.0,378.5555555555557,28.469769542055968,810.5277777777776,0,0,0,0,0,0,0,0,0.0,425.875,375.75,0.0,0,0,0,0,0,0,8,3006,0,0,-1,-1,7,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UDP
172.16.0.5-192.168.50.4-32768-41214-17,172.16.0.5,32768,192.168.50.4,41214,17,2018-11-03 11:01:43.653925,11113,6,0,2056.0,0.0,346.0,336.0,342.6666666666667,5.163977794943227,0.0,0.0,0.0,0.0,185008.54854674707,539.9082156033475,2222.6,3070.910744388381,6149.0,1.0,11113.0,2222.6,3070.910744388381,6149.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-6,0,539.9082156033475,0.0,336.0,346.0,341.7142857142857,5.345224838248488,28.57142857142857,0,0,0,0,0,0,0,0,0.0,398.66666666666674,342.6666666666667,0.0,0,0,0,0,0,0,6,2056,0,0,-1,-1,5,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UDP
172.16.0.5-192.168.50.4-36762-29696-17,172.16.0.5,36762,192.168.50.4,29696,17,2018-11-03 11:01:43.656319,218434,6,0,2088.0,0.0,393.0,321.0,348.0,35.08845964131227,0.0,0.0,0.0,0.0,9558.95144528782,27.468251279562708,43686.8,59821.25381668291,109983.0,1.0,218434.0,43686.8,59821.25381668291,109983.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-6,0,27.46825127956271,0.0,321.0,393.0,344.1428571428572,33.61759743263722,1130.1428571428569,0,0,0,0,0,0,0,0,0.0,401.5,348.0,0.0,0,0,0,0,0,0,6,2088,0,0,-1,-1,5,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UDP
172.16.0.5-192.168.50.4-47061-22961-17,172.16.0.5,47061,192.168.50.4,22961,17,2018-11-03 11:01:43.657057,219709,6,0,2204.0,0.0,389.0,330.0,367.33333333333326,29.04249759691247,0.0,0.0,0.0,0.0,10031.450691596612,27.30884943265865,43941.8,60172.741118383485,110925.0,1.0,219709.0,43941.8,60172.741118383485,110925.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-6,0,27.308849432658647,0.0,330.0,389.0,362.0,30.03331483536241,901.9999999999995,0,0,0,0,0,0,0,0,0.0,422.33333333333326,367.33333333333326,0.0,0,0,0,0,0,0,6,2204,0,0,-1,-1,5,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UDP
