Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.137.128-192.168.137.129-8443-54422-6,192.168.137.128,8443,192.168.137.129,54422,6,15/03/2025 09:34:18 AM,204546,2,1,128.0,0.0,88.0,40.0,64.0,33.94112549695428,0.0,0.0,0.0,0.0,625.776109041487,14.66662755565985,102273.0,144627.37838320932,204540.0,6.0,6.0,6.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,64,32,9.777751703773234,4.888875851886617,0.0,88.0,32.0,41.82503237695499,1749.333333333333,0,0,0,0,1,0,0,0,0.0,42.66666666666666,64.0,0.0,0,0,0,0,0,0,2,128,1,0,-1,506,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SSL
192.168.137.128-192.168.137.129-8443-54330-6,192.168.137.128,8443,192.168.137.129,54330,6,15/03/2025 09:34:18 AM,205035,3,1,128.0,0.0,88.0,0.0,42.66666666666667,44.06056437828882,0.0,0.0,0.0,0.0,624.283658887507,19.508864340234595,68345.0,118258.36698940163,204898.0,66.0,137.0,68.5,3.5355339059327378,71.0,66.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,96,32,14.631648255175946,4.877216085058649,0.0,88.0,25.6,38.94611662284187,1516.7999999999995,0,0,0,0,1,0,0,0,0.0,32.0,42.66666666666666,0.0,0,0,0,0,0,0,3,128,1,0,-1,506,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SSL
192.168.137.128-192.168.137.129-8443-54498-6,192.168.137.128,8443,192.168.137.129,54498,6,15/03/2025 09:34:18 AM,204975,2,1,128.0,0.0,88.0,40.0,64.0,33.94112549695428,0.0,0.0,0.0,0.0,624.4663983412612,14.635931211123308,102487.5,144922.2419109641,204963.0,12.0,12.0,12.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,64,32,9.757287474082206,4.878643737041103,0.0,88.0,32.0,41.82503237695499,1749.333333333333,0,0,0,0,1,0,0,0,0.0,42.66666666666666,64.0,0.0,0,0,0,0,0,0,2,128,1,0,-1,506,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SSL
192.168.137.128-192.168.137.129-8443-54546-6,192.168.137.128,8443,192.168.137.129,54546,6,15/03/2025 09:34:18 AM,205177,2,1,128.0,0.0,88.0,40.0,64.0,33.94112549695428,0.0,0.0,0.0,0.0,623.8516013003407,14.621521905476737,102588.5,145063.66326720142,205164.0,13.0,13.0,13.0,0.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,64,32,9.747681270317823,4.873840635158912,0.0,88.0,32.0,41.82503237695499,1749.333333333333,0,0,0,0,1,0,0,0,0.0,42.66666666666666,64.0,0.0,0,0,0,0,0,0,2,128,1,0,-1,506,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SSL
192.168.137.128-192.168.137.129-8443-48140-6,192.168.137.128,8443,192.168.137.129,48140,6,15/03/2025 09:34:18 AM,199564,2,1,128.0,0.0,88.0,40.0,64.0,33.94112549695428,0.0,0.0,0.0,0.0,641.3982481810347,15.032771441743,99782.0,141104.57239933792,199558.0,6.0,6.0,6.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,64,32,10.021847627828668,5.010923813914333,0.0,88.0,32.0,41.82503237695499,1749.333333333333,0,0,0,0,1,0,0,0,0.0,42.66666666666666,64.0,0.0,0,0,0,0,0,0,2,128,1,0,-1,506,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SSL
192.168.137.128-192.168.137.129-8443-54286-6,192.168.137.128,8443,192.168.137.129,54286,6,15/03/2025 09:34:18 AM,199803,2,1,128.0,0.0,88.0,40.0,64.0,33.94112549695428,0.0,0.0,0.0,0.0,640.6310215562329,15.014789567724208,99901.5,141272.15670647917,199796.0,7.0,7.0,7.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,64,32,10.00985971181614,5.0049298559080695,0.0,88.0,32.0,41.82503237695499,1749.333333333333,0,0,0,0,1,0,0,0,0.0,42.66666666666666,64.0,0.0,0,0,0,0,0,0,2,128,1,0,-1,506,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SSL
192.168.137.128-192.168.137.129-8443-54738-6,192.168.137.128,8443,192.168.137.129,54738,6,15/03/2025 09:34:18 AM,199821,2,1,128.0,0.0,88.0,40.0,64.0,33.94112549695428,0.0,0.0,0.0,0.0,640.5733131152382,15.013437026138394,99910.5,141284.8846285405,199814.0,7.0,7.0,7.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,64,32,10.008958017425597,5.004479008712798,0.0,88.0,32.0,41.82503237695499,1749.333333333333,0,0,0,0,1,0,0,0,0.0,42.66666666666666,64.0,0.0,0,0,0,0,0,0,2,128,1,0,-1,506,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SSL
192.168.137.128-192.168.137.129-8443-55548-6,192.168.137.129,55548,192.168.137.128,8443,6,15/03/2025 09:33:22 AM,55974452,41,35,2985.0,7247.0,517.0,0.0,72.80487804878048,169.6409766996458,1246.0,0.0,207.05714285714288,432.9732326230656,182.79768062758345,1.357762287695108,746326.0266666665,3759360.263801341,29641212.0,53.0,55973540.0,1399338.4999999995,5087150.850885396,29641212.0,189.0,55974331.0,1646303.8529411766,5497821.174822034,29651860.0,281.0,0,0,0,0,1344,1168,0.7324770236249923,0.6252852640701154,0.0,1246.0,132.8831168831169,322.0650054531315,103725.86773752562,0,1,0,0,0,0,0,0,0.0,134.6315789473684,72.8048780487805,207.05714285714285,0,0,0,0,0,0,41,2985,35,7247,-1,506,10,0,848287.6666666666,807777.7815131667,1780913.0,369230.0,16345105.333333332,11719550.750571216,29641212.0,7515761.0,SSL
192.168.137.128-192.168.137.129-8443-54626-6,192.168.137.128,8443,192.168.137.129,54626,6,15/03/2025 09:34:18 AM,200565,2,1,128.0,0.0,88.0,40.0,64.0,33.94112549695428,0.0,0.0,0.0,0.0,638.197093211677,14.95774437214868,100282.5,141731.7761142504,200502.0,63.0,63.0,63.0,0.0,63.0,63.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,64,32,9.971829581432454,4.985914790716227,0.0,88.0,32.0,41.82503237695499,1749.333333333333,0,0,0,0,1,0,0,0,0.0,42.66666666666666,64.0,0.0,0,0,0,0,0,0,2,128,1,0,-1,506,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SSL
192.168.137.128-192.168.137.129-8443-54454-6,192.168.137.128,8443,192.168.137.129,54454,6,15/03/2025 09:34:18 AM,200569,2,1,128.0,0.0,88.0,40.0,64.0,33.94112549695428,0.0,0.0,0.0,0.0,638.1843654802088,14.957446065942394,100284.5,141819.45735511754,200566.0,3.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,64,32,9.971630710628263,4.985815355314132,0.0,88.0,32.0,41.82503237695499,1749.333333333333,0,0,0,0,1,0,0,0,0.0,42.66666666666666,64.0,0.0,0,0,0,0,0,0,2,128,1,0,-1,506,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SSL
